Chemical,MAE_ngmL,RMSE_ngmL,R2,Evaluation
Propoxur,1.8412,2.3769,-0.1776,train_reconstruction
Propyzamide,1.0233,1.1056,-0.4132,train_reconstruction
Prosulfuron,7.6052,8.1261,-0.7701,train_reconstruction
Pymetrozine,1.256,3.068,-0.0132,train_reconstruction
Pyraclostrobin,1.1284,1.2519,-0.2054,train_reconstruction
Pyridaben,0.0432,0.0508,0.1706,train_reconstruction
Pyrimethanil,1.2145,1.3947,-0.1632,train_reconstruction
Pyriproxyfen,3.1111,3.5337,-0.0371,train_reconstruction
Pyrithiobac-sodium,223.518,317.411,-0.3953,train_reconstruction
Quinclorac,75.6102,77.0444,-16.7603,train_reconstruction
Quinoxyfen,8.1235,8.2351,-5.6438,train_reconstruction
Resmethrin,0.7339,0.7517,0.3541,train_reconstruction
Rimsulfuron,34.1957,66.4224,-0.0107,train_reconstruction
Rotenone,0.9864,1.0949,-0.3996,train_reconstruction
s-bioallethrin,2.7953,3.4063,-1.144,train_reconstruction
Sethoxydim,0.4349,0.4874,-0.3214,train_reconstruction
Simazine,1.431,1.822,-0.1048,train_reconstruction
Spiroxamine,1.6898,1.9359,-0.0356,train_reconstruction
Sulfentrazone,1.5685,2.5921,-0.0499,train_reconstruction
Tebufenozide,0.5041,0.5612,-0.3441,train_reconstruction
Tebufenpyrad,0.6337,0.7219,-0.269,train_reconstruction
Tebupirimfos,1.3578,1.4741,-0.3868,train_reconstruction
Tebuthiuron,1.367,2.0436,-0.0386,train_reconstruction
Tefluthrin,2.5639,2.7447,-0.6185,train_reconstruction
Tepraloxydim,0.6976,0.7979,-0.0593,train_reconstruction
Terbacil,2.0729,2.3451,-0.4128,train_reconstruction
Tetramethrin,0.2672,0.3037,-0.1178,train_reconstruction
Thiabendazole,40.2865,54.5236,-0.7604,train_reconstruction
Thiacloprid,1.8416,2.7301,-0.1089,train_reconstruction
Thiamethoxam,21.2287,57.6913,-0.0129,train_reconstruction
Thiazopyr,0.7116,0.7798,-0.3734,train_reconstruction
Thidiazuron,163.1866,174.5616,-6.2239,train_reconstruction
Thiobencarb,4.0995,6.1457,-0.2189,train_reconstruction
Thiophanate-methyl,1.5456,2.3441,-0.0586,train_reconstruction
Triadimefon,1.3665,1.5166,-0.2909,train_reconstruction
Triadimenol,33.0829,40.4094,-1.8428,train_reconstruction
Triasulfuron,2.9561,3.2944,-0.7289,train_reconstruction
Tribufos,0.072,0.0903,-0.1692,train_reconstruction
Triclopyr,100.8894,102.7174,-18.3012,train_reconstruction
Warfarin,91.6643,92.6602,-24.2402,train_reconstruction
Trifloxysulfuron-sodium,571.3583,578.6938,-26.8559,train_reconstruction
Pk 11195,0.2496,0.2841,-0.1223,train_reconstruction
Triflusulfuron-methyl,0.8513,0.9372,-0.218,train_reconstruction
Triticonazole,1.0781,1.1699,-0.3466,train_reconstruction
Vinclozolin,0.8586,1.1256,-0.007,train_reconstruction
Zoxamide,26.9157,27.226,-13.686,train_reconstruction
"""n-phenyl-1,4-benzenediamine""",1.3377,1.539,-0.1934,train_reconstruction
"""4,4'-methylenebis(n,n-dimethylaniline)""",4.0231,4.5128,-0.0983,train_reconstruction
"""4,4'-oxydianiline""",46.0211,71.3165,-0.0144,train_reconstruction
2-benzylideneoctanal,0.4932,0.5533,-0.1574,train_reconstruction
"""1,3-diphenylguanidine""",12.0862,17.2142,-0.1272,train_reconstruction
N-ethyl-3-methylaniline,1.503,1.7375,-0.2271,train_reconstruction
"""heptachlor epoxide, isomer b""",3.0988,3.138,-1.6112,train_reconstruction
Di(2-ethylhexyl)adipate,0.0601,0.0726,-0.6819,train_reconstruction
Azelaic acid di(2-ethylhexyl) ester,0.1633,0.1787,-3.038,train_reconstruction
Acetaminophen,1.2786,2.8941,-0.0114,train_reconstruction
5-heptyldihydro-2(3h)-furanone,0.954,1.0413,-0.2877,train_reconstruction
Tamoxifen,0.5622,0.5911,0.605,train_reconstruction
Dibutyl hexanedioate,0.5148,0.6479,-0.0125,train_reconstruction
Methyl 1h-benzimidazol-2-ylcarbamate,1.1829,2.1966,-0.0094,train_reconstruction
