"CAS","Compound","DTXSID","Clint_native","Clint_rf","Clint_used","Clint_source","AC50_5pct_uM","AC50_med_uM","AC50_source","n_tc_assays","AED_median","AED_5pct","AED_95pct","AED_mean","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway","BER","BER_low","BER_high","concern"
"97780-06-8","Ethametsulfuron methyl","DTXSID9034573",0,2.85283625819446,2.85283625819446,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.08258,0.010676,0.450925,0.1400012541,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"1806-26-4","4-octylphenol","DTXSID9022312",15.65,23.1673421724286,15.65,"httk_measured",1,1,"default_1uM",0,0.1024,0.017316,0.45119,0.148436948,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"789-02-6","""o,p'-ddt""","DTXSID6022345",15.3,3.35595713297815,15.3,"httk_measured",1,1,"default_1uM",0,0.1259,0.020339,0.45619,0.169544118,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"56-95-1","Chlorhexidine diacetate","DTXSID7032345",0,10.0215912857642,10.0215912857642,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.07809,0.010387,0.45755,0.134345689,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"2104-64-5","O-ethyl o-(p-nitrophenyl) phenylphosphonothioate","DTXSID7022174",8.16,14.5854631943209,8.16,"httk_measured",1,1,"default_1uM",0,0.097185,0.01503,0.468025,0.1553133764,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"4065-45-6","Sulisobenzone","DTXSID2042436",1.05,2.2055689681788,1.05,"httk_measured",1,1,"default_1uM",0,0.095645,0.0181145,0.47046,0.158942891,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"81-81-2","Warfarin","DTXSID5023742",0,5.80458208034504,5.80458208034504,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.09145,0.0134195,0.47275,0.144608426,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"67-63-0","Isopropanol","DTXSID7020762",0.2182,1.08630965951874,0.2182,"httk_measured",1,1,"default_1uM",0,0.17075,0.035366,0.48204,0.2027040377,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"80-46-6","4-(2-methylbutan-2-yl)phenol","DTXSID8021771",20.96,45.1651282471185,20.96,"httk_measured",1,1,"default_1uM",0,0.08251,0.00652345,0.48527,0.1490038092,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"80-05-7","Bisphenol-a","DTXSID7020182",19.9,25.5582466087208,19.9,"httk_measured",0.146589977600508,21.8776162394955,"example.toxcast",814,0.10685,0.0143165,0.49865,0.164066444,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"169590-42-5","Celecoxib","DTXSID0022777",25.7,22.3041038308986,25.7,"httk_measured",1,1,"default_1uM",0,0.096245,0.010278,0.511225,0.157250436,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"50-65-7","Niclosamide","DTXSID7040362",12,45.7403643595975,12,"httk_measured",1,1,"default_1uM",0,0.081965,0.00865915,0.512675,0.152622702,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"79-74-3","2,5-bis(2-methylbutan-2-yl)benzene-1,4-diol","DTXSID5044992",11.4,14.4288881017196,11.4,"httk_measured",1,1,"default_1uM",0,0.13185,0.018658,0.513615,0.187400709,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"7173-51-5","Didecyl dimethyl ammonium chloride","DTXSID9032537",0,11.3386142649224,11.3386142649224,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.08961,0.0098791,0.517184999999999,0.1557690745,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"13301-61-6","C.i. disperse orange 37","DTXSID9044538",0,21.581245455267,21.581245455267,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.085945,0.0097223,0.51798,0.152136739,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"94125-34-5","Prosulfuron","DTXSID9034868",10.37,6.83804851186775,10.37,"httk_measured",1,1,"default_1uM",0,0.08299,0.00876835,0.536215,0.149608936,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"42874-03-3","Oxyfluorfen","DTXSID7024241",0,5.94022633664219,5.94022633664219,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.1219,0.0196225,0.550865,0.176132261,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"100784-20-1","Halosulfuron-methyl","DTXSID9034650",0,5.95390343617492,5.95390343617492,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.09911,0.0114145,0.551045,0.174240153,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"115-32-2","Dicofol","DTXSID4020450",27.8,20.9279227106238,27.8,"httk_measured",1,1,"default_1uM",0,0.060495,0.0073658,0.5561,0.1469420937,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"604-75-1","Oxazepam","DTXSID1021087",3.271,5.02429773379062,3.271,"httk_measured",1,1,"default_1uM",0,0.1043,0.0149485,0.55716,0.17177922,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"57-41-0","Phenytoin","DTXSID8020541",0.8178,2.62617390078039,0.8178,"httk_measured",1,1,"default_1uM",0,0.14025,0.038821,0.559075,0.198518296,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"128-39-2","""2,6-di-tert-butylphenol""","DTXSID6027052",0,14.5915907804131,14.5915907804131,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.13315,0.0190205,0.565199999999999,0.194372045,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"79622-59-6","Fluazinam","DTXSID7032551",24.76,25.1681446938638,24.76,"httk_measured",0.41862821387355,3.99944749761097,"example.toxcast",526,0.1025,0.0108285,0.56845,0.1698234059,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"56-55-3","Benz[a]anthracene","DTXSID5023902",18.27,14.3197361343667,18.27,"httk_measured",1,1,"default_1uM",0,0.13265,0.0264535,0.57924,0.192288557,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"50-55-5","Reserpine","DTXSID7021237",0,9.58746650365809,9.58746650365809,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.098575,0.0120285,0.580389999999999,0.174196221,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
