CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
321-64-2,Tacrine,1000.0,16.858,167.387,2408.783,4444.906091,4444.906091,4444.906091,,,,
54-11-5,Nicotine,4.44,5.167,12.332,27.212,1.687513,1.688768,1.69285,,,,
99-66-1,Valproic acid,0.437,4.609,10.302,23.395,0.097009,0.097224,0.097698,,,,
55-98-1,Busulphan,1.39,1.606,4.915,10.4,1.954675,1.956193,1.963347,,,,
305-03-3,Chlorambucil,44.0,10.099,36.164,86.415,0.502252,0.50924,0.540258,,,,
56-75-7,Chloramphenicol,0.723,3.854,6.552,10.221,0.452582,0.453218,0.454458,,,,
85721-33-1,Ciprofloxacin,4.17,2.382,5.237,9.314,11.311317,11.323106,11.355395,,,,
64-86-8,Colchicine,0.698,2.156,4.682,8.71,1.281342,1.283152,1.287738,,,,
89-25-8,Edaravone,2.0,6.498,12.282,36.111,1.291456,1.291456,1.292114,,,,
50-28-2,Estradiol,56.9,33.818,62.033,128.077,0.548019,0.784693,1.167624,,,,
98319-26-7,Finasteride,4.5,6.686,10.418,17.269,0.51402,0.515811,0.518332,,,,
29094-61-9,Glipizide,1.597,4.709,7.57,12.018,0.061876,0.063152,0.065247,,,,
10238-21-8,Glyburide,6.62,4.569,8.209,13.498,0.248817,0.253613,0.263361,,,,
53-86-1,Indomethacin,9.35,31.776,65.539,141.571,0.129396,0.130291,0.13206,,,,
54-85-3,Isoniazide,1.11,0.212,1.448,4.951,0.912684,0.916575,0.948684,,,,
797-63-7,Levonorgestrel,9.89,11.025,17.68,25.251,0.369713,0.371184,0.374147,,,,
443-48-1,Metronidazole,3.0,1.127,3.608,7.728,15.316593,15.337179,15.422149,,,,
84371-65-3,Mifepristone,33.2,13.259,18.486,47.146,0.438776,0.446246,0.45109,,,,
57-47-6,Physostigmine,1.64,3.991,6.934,10.809,1.473603,1.474642,1.476779,,,,
117-39-5,Quercetin,75.2,9.432,27.733,70.518,1.114485,1.12651,1.164968,,,,
50-35-1,Thalidomide,4.0,3.441,6.145,9.811,0.419695,0.420251,0.421422,,,,
134308-13-7,Tolcapone,22.0,15.019,38.174,78.916,0.284422,0.28693,0.294417,,,,
76-25-5,Triamcinolone acetonide,9.0,3.937,6.757,10.57,2.966869,2.973763,2.987451,,,,
125-84-8,Aminoglutethimide,0.723,0.708,3.961,10.321,0.771075,0.772934,0.786789,,,,
66-81-9,Cycloheximide,1.74,3.116,6.03,9.898,1.14398,1.145009,1.147472,,,,
84-66-2,Diethylphthalate,42.5,6.518,14.15,27.737,7.211648,7.223115,7.250522,,,,
39515-41-8,Fenpropathrin,19.7,15.651,24.523,42.771,0.1999,0.206254,0.214696,,,,
67614-33-9,Fenvalerate,0.766,13.503,21.672,37.35,0.002969,0.003066,0.003204,,,,
389-08-2,Nalidixic_acid,1.1,4.474,7.867,12.042,1.19701,1.197587,1.198932,,,,
57-24-9,Strychnine,2.0,3.527,6.42,9.975,1.390389,1.391862,1.395255,,,,
84-74-2,Dibutylphthalate,42.5,17.621,26.208,36.078,0.572192,0.57404,0.577334,,,,
25812-30-0,Gemfibrozil,52.18,20.507,30.196,41.566,0.904581,0.906952,0.911047,,,,
486-66-8,Daidzein,15.4,13.659,19.801,27.964,0.813271,0.815155,0.818058,,,,
520-18-3,Kaempferol,95.7,5.05,9.191,19.152,2.089773,2.124021,2.178015,,,,
17924-92-4,Zearalenone,209.0,25.37,44.92,79.595,1.6869,1.715451,1.765954,,,,
521-18-6,5alpha-dihydrotestosterone,70.7,14.941,20.551,31.045,2.675881,2.688064,2.701596,,,,
520-36-5,Apigenin,138.0,32.006,65.776,137.781,1.083669,1.544142,2.473839,,,,
