CAS,Compound,log10_lit,log10_pred,fold_error,in_pilot,SHAP_log10_MW,SHAP_logP,SHAP_logP^2,SHAP_log10_Fup,SHAP_sqrt_Fup,SHAP_MW*logP,SHAP_MW*Fup,SHAP_logP*Fup,SHAP_MW,MW,logP,Fup,Clint
108-95-2,Phenol,0.7401257369657306,0.6812016420977195,1.1453127484507382,True,-0.027788080041280274,-0.007871420646349528,-0.051418571046983254,-0.029977510325040486,-0.015409992154763486,0.06393637068469535,-0.31720663529370413,-0.009943854518850057,-0.1922109284413987,94.11,1.462,0.6201,5.496
111-21-7,Triethylene glycol diacetate,2.3138693285896768,1.0929962436190979,16.629266178960265,True,-0.004148793854648061,-0.024577383721529966,-0.04871431393004789,-0.05515531689480008,-0.007039921023856562,0.0036507325198152935,-0.06250174377097621,0.024617895950797577,-0.002227175537050944,234.2,0.5404,0.895,206.0
1119-40-0,Dimethyl glutarate,1.6655903709270667,1.133665074377386,3.4034964076616356,True,0.09839469209315557,0.015593769884236549,0.06300206587888664,-0.029977510325040486,-0.028201884956671988,0.010750464159102848,-0.35348066691969127,0.012876305698435146,0.0756155749835779,160.2,0.6217,0.6989,46.3
115-86-6,Triphenyl phosphate,1.4222778761641806,1.5715889399609084,1.4102985643172643,True,-0.0034956417870027844,0.0831031617525008,0.07706473147757514,0.025960847971402672,-0.002086587311554866,-0.03705014144617739,0.18513995679077835,-0.02609138053340877,-4.827083459942451e-05,326.3,4.589,0.002852,26.44
119-61-9,Benzophenone,0.9607085516885566,1.262731860340723,2.004579610576573,True,0.03367527353801591,0.07032544065623597,0.05511378292365755,0.0016074853517634425,0.0006715979176271532,-0.027331580346878305,-0.04470446021034509,-0.014587007690394267,-0.0811309356803544,182.2,3.181,0.06543,9.134
120-47-8,Ethylparaben,1.7577072122765633,1.3883877457550517,2.340558317577014,True,0.10049587166797526,-0.01175982687300623,0.01646232052987144,0.000642513866724971,0.00041975359513288213,-0.016828626478465353,-0.037389358633995264,-0.009666494298091419,0.07691932849750989,166.2,2.464,0.1057,57.24
120-71-8,P-cresidine,1.2907244800192232,1.204490355158204,1.2196469241350654,True,0.1205964692396986,-0.004865779881298311,-0.0006842890310773697,-0.016085464632637034,-0.004206969944311922,0.025775806013457546,-0.28157825439962125,0.034933452286965254,0.061513121625633035,137.2,1.737,0.4043,19.53
121-00-6,2-tert-butyl-4-methoxy-phenol,0.8488662114947794,1.4565203169889513,4.05185696133734,True,0.09192692029910175,0.07032544065623597,0.056848803074725035,0.0016074853517634425,0.0006715979176271532,-0.02542079924391578,-0.04777052507152782,-0.009634405738991091,0.048873535862537495,180.2,3.202,0.07217,7.06
123122-55-4,Candoxatril,0.9955913242523534,1.0407130592446807,1.1094857662856785,True,-0.0796444318356832,0.10371587217806548,0.05620758652734048,-0.021806843029729756,-0.006766580518475918,0.0865708295505032,-0.26975571196682807,-0.04454881436721034,-0.05235111117469717,515.6,3.856,0.2659,9.898
124-94-7,Triamcinolone,0.3967222785037734,0.6435580446388931,1.7653700977606255,True,-0.058488780826174494,-0.03317156126815505,-0.136847413955331,-0.05123929893165859,-0.003512570528663064,-0.03480730897482476,-0.1917628251807393,-0.049120357767799216,-0.06658410180915553,394.4,1.16,0.7348,2.492
127308-82-1,Zamifenacin,1.2332753912939436,1.2179755288374279,1.035857136520898,True,-0.15033333455497483,-0.048025504280559524,-0.04959013998945675,0.026065096957000877,-0.007283789154809499,0.13116334658455253,0.13563287760819928,-0.029374959296072034,-0.059370328917846736,415.5,5.742,0.002114,17.11
129-00-0,Pyrene,0.7910587435918254,1.1969141797565563,2.5459826289260503,True,0.053312556343432356,-0.1180232883252597,-0.08440165974875163,0.004963771189001749,0.009140373344861227,-0.09818419145462028,0.16904797025417298,-0.00931050867195291,0.001276892944277898,202.3,4.883,0.02415,6.18
13311-84-7,Flutamide,1.4826020646990636,1.2800683788450418,1.5941665267186846,True,-0.006127027673017715,0.0652826511228163,0.053636415417952804,-0.00844461365912147,-0.0011767251345701627,-0.03014718042484412,-0.049659145818717235,-0.015152886500206603,0.0027646276333545793,276.2,3.35,0.03758,30.38
13674-87-8,"""tris(1,3-dichloro-2-propyl) phosphate (tdcpp)""",0.7069736761761781,1.3539374551256023,4.435716476034454,True,-0.1301615285999557,0.09320873394140099,0.0530012233841787,-0.0022748417083803094,0.00045046881761815746,0.009178997081883983,0.14909267987719854,-0.02131082439043221,-0.06633971715930469,430.9,3.65,0.01078,5.092
139290-65-6,Volinanserin,0.7375901662857216,1.0677587321219342,2.138792073145465,True,-0.032008985429549844,0.08184370222264015,0.05927021338919374,-0.022523879001129097,-0.009450075682882527,-0.040975030952770185,-0.22332716867461996,0.00325444343856767,-0.017416751068912634,373.5,3.106,0.5097,5.464
140-66-9,"""4-(1,1,3,3-tetramethylbutyl)phenol""",1.4310580419420251,1.3016392275101938,1.3471588683995017,True,0.05439797378835092,-0.08142161831193562,-0.06608382555542253,0.004963771189001749,0.009140373344861227,-0.051680180509549624,0.17047749441262677,-0.00931050867195291,0.0020634839428193665,206.3,4.867,0.01902,26.98
148-24-3,8-hydroxyquinoline,1.8431143746541072,1.470752301774723,2.3570135156764622,True,0.1398166574750726,-0.01677243723340887,0.01743021233997724,0.003813008826145093,-0.0023335655333337284,0.02339686738898286,-0.03418917943017438,-0.007589715170112333,0.07808818923017913,145.2,2.019,0.1184,69.68
150-68-5,Monuron,0.4895366294820953,0.9312682412004961,2.7652322400917875,True,0.044774773917146446,-0.0018375042709799223,0.006625907670476771,-0.019661173954155675,-0.004918164886485441,-0.016694904291159277,-0.3251714821805454,-0.04910645167412757,0.02816497698893177,198.6,1.941,0.4551,3.086
15310-01-7,Benodanil,1.330434067009712,1.2095113275638594,1.3210605979211885,True,-0.007455849544011274,0.014397883662730707,0.05666821087884451,0.0007062042192195032,-0.0011767251345701627,-0.030638745389014427,-0.0822600442350855,-0.008817340079897665,-0.0010045306957520291,323.1,2.855,0.07513,21.4
1806-26-4,4-octylphenol,1.1945420914420373,1.2697510395753664,1.189074178224938,True,0.05439797378835092,-0.11346252740859131,-0.0749650053239764,0.03407902804913456,-0.0033452551330436196,-0.05784755611157554,0.16741788202717423,-0.008844208526222056,0.003228444332721238,206.3,5.187,0.005,15.65
