DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID1032355,81777-89-1,Clomazone,239.7,2.498,0.1734,1.0,,3.038,22.2671,2.0635,1.475516,1.496612,1.464229,8.488349,8.609708,8.423417,,,,,no_data,no_data,no_data
DTXSID9034232,101-10-0,Cloprop,200.6,2.542,0.02239,1.0,,0.0,21.7464,1.2519,0.0,1.473546,1.143421,0.0,7.094238,5.504884,,,,,no_data,no_data,no_data
DTXSID2034465,210880-92-5,Clothianidin,249.7,0.7017,0.5059,1.0,,10.73,1.7786,7.3753,1.497588,1.485568,1.496494,8.974748,8.902712,8.96819,,,,,no_data,no_data,no_data
DTXSID2020347,56-72-4,Coumaphos,362.8,4.128,1e-06,1.0,,31.7,38.9654,31.508,0.399202,0.462486,0.397425,3.475933,4.026962,3.460458,,,,,no_data,no_data,no_data
DTXSID1023990,21725-46-2,Cyanazine,240.7,2.221,0.3155,1.0,,0.0,0.0031,2.7553,0.0,0.150944,1.485067,0.0,0.871975,8.578934,,,,,no_data,no_data,no_data
DTXSID5032600,113136-77-9,Cyclanilide,274.1,2.683,0.984,1.0,,0.0,14.9825,17.0662,0.0,1.499111,1.49922,0.0,9.861753,9.862466,,,,,no_data,no_data,no_data
DTXSID6032356,1134-23-2,Cycloate,215.4,3.924,0.005,1.0,,34.48,104.3917,0.0234,1.427615,1.475293,0.019812,7.380199,7.626676,0.10242,,,,,no_data,no_data,no_data
DTXSID0032601,94361-06-5,Cyproconazole,291.8,2.902,0.1086,1.0,,1.538,0.1596,7.011,1.425402,0.997124,1.482975,9.982378,6.983061,10.385568,,,,,no_data,no_data,no_data
DTXSID1032359,121552-61-2,Cyprodinil,225.3,3.998,0.002141,1.0,,37.77,0.2019,19.8494,1.353673,0.070682,1.244102,7.319581,0.382191,6.727111,,,,,no_data,no_data,no_data
DTXSID6023999,66215-27-8,Cyromazine,166.2,0.8033,0.9352,1.0,,0.0,0.0,4.5469,0.0,0.0,1.496923,0.0,0.0,5.970926,,,,,no_data,no_data,no_data
DTXSID8035180,584-79-2,"D-cis,trans-allethrin",302.4,4.78,0.2902,1.0,,0.0,62.1808,23.443,0.0,1.499274,1.498075,0.0,10.881129,10.87243,,,,,no_data,no_data,no_data
DTXSID7024902,533-74-4,Dazomet,162.3,0.6304,0.8914,1.0,,12.42,170.7806,3.9811,1.498817,1.499914,1.496314,5.83819,5.842465,5.828443,,,,,no_data,no_data,no_data
DTXSID9020407,333-41-5,Diazinon,304.3,3.809,0.0388,1.0,,30.5,3.9655,16.3174,1.489001,1.419362,1.479572,10.874475,10.365887,10.80561,,,,,no_data,no_data,no_data
DTXSID5037523,962-58-3,Diazoxon,288.3,2.072,0.3269,1.0,,34.62,3.003,5.4731,1.498842,1.486761,1.492707,10.37079,10.287199,10.328339,,,,,no_data,no_data,no_data
DTXSID4024018,1918-00-9,Dicamba,221.0,2.212,0.1802,1.0,,0.0,27.4707,1.6791,0.0,1.497356,1.457882,0.0,7.941976,7.732607,,,,,no_data,no_data,no_data
DTXSID5032365,1194-65-6,Dichlobenil,172.0,2.741,0.06222,1.0,,0.0,6.1354,6.9505,0.0,1.466422,1.470281,0.0,6.053388,6.069322,,,,,no_data,no_data,no_data
DTXSID2020426,99-30-9,Dichloran,207.0,2.799,0.005,1.0,,0.0,6.2938,0.0035,0.0,1.173917,0.002997,0.0,5.832019,0.014889,,,,,no_data,no_data,no_data
DTXSID0020440,120-36-5,Dichlorprop,235.1,2.827,0.008529,1.0,,0.0,19.2687,3.8218,0.0,1.424246,1.182808,0.0,8.036163,6.673876,,,,,no_data,no_data,no_data
DTXSID0032605,51338-27-3,Diclofop-methyl,341.2,4.709,0.005,1.0,,0.0,19.0842,7.9532,0.0,1.374121,1.229692,0.0,11.252398,10.069704,,,,,no_data,no_data,no_data
DTXSID4034528,145701-21-9,Diclosulam,406.2,2.52,0.00648,1.0,,3.442,0.0729,3.6988,1.077655,0.076906,1.099141,10.50584,0.749744,10.715307,,,,,no_data,no_data,no_data
DTXSID4020450,115-32-2,Dicofol,370.5,5.024,1e-06,1.0,,27.8,12.9362,15.5286,0.36194,0.193369,0.226274,3.218367,1.719433,2.012027,,,,,no_data,no_data,no_data
DTXSID9023914,141-66-2,Dicrotophos,237.2,0.0002994,0.8457,1.0,,0.0,131.6585,1.9308,0.0,1.499882,1.492013,0.0,8.53853,8.493731,,,,,no_data,no_data,no_data
