"Compound","CAS","DTXSID","logP","MW","pKa_Accept","pKa_Donor","Human.Clint","Human.Clint.pValue","Human.Funbound.plasma","Human.Rblood2plasma","MW_num","logP_num","Fup_num","Rblood2plasma_num","Clint_native","Clint_rf","needs_clint_impute","Clint_used","Clint_source","n_tc_assays","AC50_5pct_uM","AC50_med_uM","AC50_source","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway"
"Butylate","2008-41-5","DTXSID7023936",4.149,217.4," "," ",52.51,0.000398,0.005,NA,217.4,4.149,0.005,NA,52.51,31.8272777240499,FALSE,52.51,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Carbaryl","63-25-2","DTXSID9020247",2.358,201.2," ","14.8",27.27,1.67e-08,0.6922,NA,201.2,2.358,0.6922,NA,27.27,13.4998532624757,FALSE,27.27,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Carboxin","5234-68-4","DTXSID0023951",2.14,235.3," ","13.2",24.41,0.001153,0.175,NA,235.3,2.14,0.175,NA,24.41,14.7753556788572,FALSE,24.41,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Chlorethoxyfos","54593-83-8","DTXSID2032344",4.588,336," "," ",617,0,0.00394,NA,336,4.588,0.00394,NA,617,154.214907262474,FALSE,617,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Chloridazon","1698-60-8","DTXSID3034872",1.172,221.6,"5.59","13.4",0,0.1044,0.4273,NA,221.6,1.172,0.4273,NA,0,2.25546347114893,TRUE,2.25546347114893,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Chlorpropham","101-21-3","DTXSID7020764",3.507,213.7," ","12.9",78.1,0.00396,0.0833,NA,213.7,3.507,0.0833,NA,78.1,37.2653061491417,FALSE,78.1,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Chlorpyrifos-methyl","5598-13-0","DTXSID6032352",4.31,322.5," "," ",24.1,0,0.005,NA,322.5,4.31,0.005,NA,24.1,33.0557776754538,FALSE,24.1,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cinmethylin","87818-31-3","DTXSID3034456",4.62,274.4," "," ",28.17,1.27e-05,0.005,NA,274.4,4.62,0.005,NA,28.17,24.7962822730903,FALSE,28.17,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Clofentezine","74115-24-5","DTXSID9023881",3.1,303.2," "," ",0,0.9992,0.005,NA,303.2,3.1,0.005,NA,0,33.3254041771957,TRUE,33.3254041771957,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Clomazone","81777-89-1","DTXSID1032355",2.498,239.7," "," ",3.038,5.3e-06,0.1734,NA,239.7,2.498,0.1734,NA,3.038,4.71944244679354,FALSE,3.038,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cloprop","101-10-0","DTXSID9034232",2.542,200.6," ","3.27",0,0.544,0.02239,NA,200.6,2.542,0.02239,NA,0,20.6418431828917,TRUE,20.6418431828917,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Clothianidin","210880-92-5","DTXSID2034465",0.7017,249.7,"0.41"," ",10.73,0.01017,0.5059,NA,249.7,0.7017,0.5059,NA,10.73,8.40209143953298,FALSE,10.73,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Coumaphos","56-72-4","DTXSID2020347",4.128,362.8," "," ",31.7,0,2.9e-07,NA,362.8,4.128,2.9e-07,NA,31.7,37.0322161780879,FALSE,31.7,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cyanazine","21725-46-2","DTXSID1023990",2.221,240.7," ","14.4",0,0.05328,0.3155,NA,240.7,2.221,0.3155,NA,0,4.04410530230076,TRUE,4.04410530230076,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cyclanilide","113136-77-9","DTXSID5032600",2.683,274.1," ","3.39,12.5",0,0.522,0.984,NA,274.1,2.683,0.984,NA,0,2.0562999408498,TRUE,2.0562999408498,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cycloate","1134-23-2","DTXSID6032356",3.924,215.4," "," ",34.48,4.36e-05,0.005,NA,215.4,3.924,0.005,NA,34.48,30.9384735141415,FALSE,34.48,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cyproconazole","94361-06-5","DTXSID0032601",2.902,291.8,"2","13.3",1.538,0.02287,0.1086,NA,291.8,2.902,0.1086,NA,1.538,4.8116448096897,FALSE,1.538,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Cyprodinil","121552-61-2","DTXSID1032359",3.998,225.3,"3.1","13.6",37.77,0.0004786,0.002141,NA,225.3,3.998,0.002141,NA,37.77,35.9374655124626,FALSE,37.77,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
