CAS,SMILES
85509-19-9,C[Si](Cn1cncn1)(c2ccc(F)cc2)c3ccc(F)cc3
66332-96-5,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
173159-57-4,COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2c(NC=O)cccc2C(=O)N(C)C)n1
68157-60-8,Clc1cc(NC(=O)Nc2ccccc2)ccn1
23422-53-9,[H+].[Cl-].CNC(=O)Oc1cccc(c1)N=CN(C)C
98886-44-3,CCO[P](=O)(SC(C)CC)N1CCSC1=O
100784-20-1,COC(=O)c1c(Cl)nn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2
79983-71-4,CCCCC(O)(Cn1cncn1)c2ccc(Cl)cc2Cl
51235-04-2,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C
78587-05-0,C[C@H]1C(SC(=O)N1C(=O)NC2CCCCC2)c3ccc(Cl)cc3
119515-38-7,CCC(C)OC(=O)N1CCCCC1CCO
35554-44-0,Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1
114311-32-9,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(c1)C(O)=O
104098-48-8,CC(C)C1(C)N=C(NC1=O)c2ncc(C)cc2C(O)=O
81334-34-1,CC(C)C1(C)N=C(NC1=O)c2ncccc2C(O)=O
81335-37-7,CC(C)C1(C)N=C(NC1=O)c2nc3ccccc3cc2C(O)=O
81335-77-5,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(c1)C(O)=O
173584-44-6,COC(=O)N(C(=O)N1CO[C@]2(Cc3cc(Cl)ccc3C2=N1)C(=O)OC)c4ccc(OC(F)(F)F)cc4
144550-36-7,[Na+].COC(=O)c1ccc(I)cc1[S]([O-])(=O)=NC(=O)Nc2nc(C)nc(OC)n2
36734-19-7,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2
42509-80-8,CCO[P](=S)(OCC)Oc1nn(C(C)C)c(Cl)n1
82558-50-7,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1
