CAS,Compound,MW,logP,Fup,Clint_RDKit_pred,log10_Clint_pred,has_SMILES,Clint_source
135410-20-7,Acetamiprid,222.7,1.834,0.5732,8.3054,0.9194,True,RDKit_RF_544model
59-05-2,Methotrexate,454.4,-1.847,0.432,8.2614,0.9171,True,RDKit_RF_544model
314-40-9,Bromacil,261.1,2.109,0.0852,8.2375,0.9159,True,RDKit_RF_544model
100784-20-1,Halosulfuron-methyl,434.8,-0.01661,0.009462,7.9353,0.8996,True,RDKit_RF_544model
57837-19-1,Metalaxyl,279.3,1.65,0.7306,7.8822,0.8967,True,RDKit_RF_544model
60-54-8,Tetracycline,444.4,-1.295,0.468,7.8706,0.8961,True,RDKit_RF_544model
43222-48-6,Difenzoquat metilsulfate,360.4,0.5632,0.8513,7.7975,0.892,True,RDKit_RF_544model
82385-42-0,Sodium saccharin hydrate,223.2,-2.005,0.698,7.6285,0.8825,True,RDKit_RF_544model
20325-40-0,"3,3'-dimethoxybenzidine dihydrochloride",317.2,-0.2588,0.201,7.6159,0.8818,True,RDKit_RF_544model
66230-04-4,Esfenvalerate,419.9,6.2,1e-06,7.605,0.8812,True,RDKit_RF_544model
57754-85-5,Clopyralid-olamine,253.1,1.453,0.464,7.5841,0.88,True,RDKit_RF_544model
6055-19-2,Cyclophosphamide monohydrate,279.1,1.304,0.772,7.5806,0.8798,True,RDKit_RF_544model
87820-88-0,Tralkoxydim,329.4,4.461,0.169,7.5375,0.8773,False,RDKit_RF_544model_noSMILES
184653-84-7,Carabersat,357.4,3.204,0.187,7.4276,0.8709,True,RDKit_RF_544model
2058-46-0,Oxytetracycline hydrochloride,496.9,-1.034,0.6283,7.1915,0.8569,True,RDKit_RF_544model
81131-70-6,Pravastatin sodium,446.5,-0.2281,0.361,7.1149,0.8522,True,RDKit_RF_544model
34487-61-1,Phenol red sodium salt,376.4,0.9263,0.0878,6.9939,0.8448,True,RDKit_RF_544model
1918-02-1,Picloram,241.4,1.899,0.23,6.9774,0.8438,True,RDKit_RF_544model
21725-46-2,Cyanazine,240.7,2.221,0.3155,6.7893,0.8319,True,RDKit_RF_544model
153719-23-4,Thiamethoxam,291.7,-0.1191,0.8286,6.7377,0.8286,True,RDKit_RF_544model
173159-57-4,Foramsulfuron,452.4,0.7454,0.0649,6.6169,0.8207,True,RDKit_RF_544model
101-80-4,"""4,4'-oxydianiline""",200.2,1.364,0.3284,6.5838,0.8185,True,RDKit_RF_544model
446-86-6,Azathioprine,277.3,0.101,0.32,6.5824,0.8184,True,RDKit_RF_544model
1214-39-7,N-benzyladenine,225.3,1.567,0.138,6.3323,0.8016,True,RDKit_RF_544model
1563-66-2,Carbofuran,221.3,1.974,0.4213,6.3129,0.8003,True,RDKit_RF_544model
97780-06-8,Ethametsulfuron methyl,410.4,1.59,0.01566,6.1243,0.7871,True,RDKit_RF_544model
90823-38-4,Denatonium saccharide,507.6,0.8279,0.488,6.1242,0.7871,True,RDKit_RF_544model
51-30-9,Isoproterenol hydrochloride,247.7,-1.184,0.609,6.1024,0.7856,True,RDKit_RF_544model
141-66-2,Dicrotophos,237.2,0.0002994,0.8457,6.056,0.7823,True,RDKit_RF_544model
57-68-1,Sulfamethazine,278.3,0.1913,0.175,5.9118,0.7718,True,RDKit_RF_544model
76824-35-6,Famotidine,337.4,-0.6389,0.84,5.8698,0.7687,True,RDKit_RF_544model
23135-22-0,Oxamyl,219.3,-0.4706,0.7926,5.6445,0.7517,True,RDKit_RF_544model
1698-60-8,Chloridazon,221.6,1.172,0.4273,5.6342,0.7509,True,RDKit_RF_544model
57-30-7,Phenobarbital sodium,254.2,-1.405,0.247,5.6162,0.7495,True,RDKit_RF_544model
30560-19-1,Acephate,183.2,-0.8482,0.8684,5.4475,0.7363,True,RDKit_RF_544model
58-93-5,Hydrochlorothiazide,297.7,-0.07002,0.274,5.4396,0.7356,True,RDKit_RF_544model
73-31-4,Melatonin,232.3,0.6118,0.498,5.3169,0.7257,True,RDKit_RF_544model
67-20-9,Nitrofurantoin,238.2,-0.4691,0.415,5.251,0.7203,True,RDKit_RF_544model
159138-81-5,Cariporide mesylate,379.4,0.5727,0.451,5.026,0.7013,True,RDKit_RF_544model
77-06-5,Gibberellic_acid,346.4,0.2422,0.24,4.9725,0.6967,True,RDKit_RF_544model
396-01-0,Triamterene,253.3,0.9803,0.333,4.9309,0.693,True,RDKit_RF_544model
4291-63-8,2-chloro-2'-deoxyadenosine,285.7,0.01732,0.9848,4.7678,0.6784,True,RDKit_RF_544model
119-90-4,"3,3'-dimethoxybenzidine",244.3,1.813,0.3343,4.766,0.6782,True,RDKit_RF_544model
6923-22-4,Monocrotophos,223.2,-0.1994,0.898,4.5785,0.6608,True,RDKit_RF_544model
1646-88-4,Aldoxycarb,222.3,-0.5679,0.948,4.5768,0.6607,True,RDKit_RF_544model
2321-07-5,Fluorescein,332.3,2.531,0.151,4.5574,0.6588,True,RDKit_RF_544model
41394-05-2,Metamitron,202.2,0.8305,0.693,4.5571,0.6588,True,RDKit_RF_544model
54-62-6,Aminopterin,440.4,-0.05046,0.75,4.533,0.6565,True,RDKit_RF_544model
104098-48-8,Imazapic,275.3,2.464,0.5468,4.467,0.6501,True,RDKit_RF_544model
69655-05-6,Didanosine,236.2,-1.238,0.951,4.3018,0.6337,True,RDKit_RF_544model
3337-71-1,Asulam,230.2,-0.2672,0.456,4.1767,0.6209,True,RDKit_RF_544model
122931-48-0,Rimsulfuron,431.4,0.2909,0.6278,4.0477,0.6073,True,RDKit_RF_544model
15676-16-1,Sulpiride,341.4,0.5712,1.0,3.6464,0.562,True,RDKit_RF_544model
80-08-0,Dapsone,248.3,0.9717,0.295,3.5599,0.5516,True,RDKit_RF_544model
112-49-2,Triethylene glycol dimethyl ether,178.2,-0.1647,0.66,3.4942,0.5435,True,RDKit_RF_544model
114311-32-9,Imazamox,305.3,0.7307,0.4548,3.2503,0.5121,True,RDKit_RF_544model
59-87-0,Nitrofurazone,198.1,0.2287,0.856,3.1164,0.4938,True,RDKit_RF_544model
110-26-9,"""n,n'-methylenebis(acrylamide)""",154.2,-0.6668,1.0,3.0555,0.4852,True,RDKit_RF_544model
81334-34-1,Imazapyr,261.3,0.2237,0.9231,3.0538,0.485,True,RDKit_RF_544model
112-50-5,2-[2-(2-ethoxyethoxy)ethoxy]ethanol,178.2,0.03197,1.0,2.5204,0.4016,True,RDKit_RF_544model
154-42-7,6-thioguanine,167.2,-0.06896,0.804,2.3755,0.3759,True,RDKit_RF_544model
100-97-0,Methenamine,140.2,-0.1649,0.352,2.3561,0.3724,True,RDKit_RF_544model
88-12-0,N-vinyl-2-pyrrolidone,111.1,0.3681,0.953,1.9837,0.2977,True,RDKit_RF_544model
105-60-2,Caprolactam,113.2,-1.193,0.761,0.7897,-0.102,True,RDKit_RF_544model
