CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
7287-19-6,Prometryn,241.4,3.511,0.005,35.78,35.78,httk_measured
25606-41-1,Propamocarb hydrochloride,224.7,0.02809,0.8435,5.815,5.815,httk_measured
709-98-8,Propanil,218.1,3.071,0.0713,11.3,11.3,httk_measured
139-40-2,Propazine,229.7,2.931,0.03651,14.6,14.6,httk_measured
31218-83-4,Propetamphos,281.3,3.816,0.009787,16.24,16.24,httk_measured
114-26-1,Propoxur,209.2,1.524,0.2159,6.899,6.899,httk_measured
23950-58-5,Propyzamide,256.1,3.429,0.06756,5.4,5.4,httk_measured
94125-34-5,Prosulfuron,419.4,1.891,0.005,10.37,10.37,httk_measured
123312-89-0,Pymetrozine,217.2,-0.1774,0.9946,8.611,8.611,httk_measured
175013-18-0,Pyraclostrobin,387.8,3.99,0.001584,53.93,53.93,httk_measured
96489-71-3,Pyridaben,364.9,6.367,0.005,63.93,63.93,httk_measured
53112-28-0,Pyrimethanil,199.3,2.841,0.01673,43.89,43.89,httk_measured
95737-68-1,Pyriproxyfen,321.4,4.199,0.000907,16.86,16.86,httk_measured
83-79-4,Rotenone,394.4,4.098,0.003404,28.31,28.31,httk_measured
28434-00-6,s-bioallethrin,302.4,4.78,1e-06,45.9,45.9,httk_measured
74051-80-2,Sethoxydim,327.5,4.38,0.05472,11.87,11.87,httk_measured
122-34-9,Simazine,201.7,2.18,0.2845,6.326,6.326,httk_measured
118134-30-8,Spiroxamine,297.5,4.616,0.005446,3.353,3.353,httk_measured
122836-35-5,Sulfentrazone,387.2,0.9936,0.9933,5.715,5.715,httk_measured
112410-23-8,Tebufenozide,352.5,4.247,0.03378,22.4,22.4,httk_measured
119168-77-3,Tebufenpyrad,333.9,4.61,0.005,15.94,15.94,httk_measured
96182-53-5,Tebupirimfos,318.4,3.543,0.005,22.64,22.64,httk_measured
34014-18-1,Tebuthiuron,228.3,1.788,0.4172,5.282,5.282,httk_measured
79538-32-2,Tefluthrin,418.7,2.396,0.005,24.81,24.81,httk_measured
149979-41-9,Tepraloxydim,341.8,3.688,0.3834,3.349,3.349,httk_measured
5902-51-2,Terbacil,216.7,1.89,0.1029,2.272,2.272,httk_measured
7696-12-0,Tetramethrin,331.4,4.727,0.005,37.6,37.6,httk_measured
111988-49-9,Thiacloprid,252.7,0.9225,0.2857,2.574,2.574,httk_measured
117718-60-2,Thiazopyr,396.4,3.889,0.01139,41.5,41.5,httk_measured
28249-77-6,Thiobencarb,257.8,3.4,1e-06,233.0,233.0,httk_measured
23564-05-8,Thiophanate-methyl,342.4,1.4,0.427,2.469,2.469,httk_measured
43121-43-3,Triadimefon,293.8,2.771,0.1142,14.59,14.59,httk_measured
82097-50-5,Triasulfuron,401.8,1.102,0.02305,14.58,14.58,httk_measured
78-48-8,Tribufos,314.5,5.7,0.06651,125.1,125.1,httk_measured
3380-34-5,Triclosan,289.5,4.762,0.00428,27.8,27.8,httk_measured
